,red,green,blue,closest
0,100,106,106,
1,104,110,110,
2,104,110,110,
3,95,101,101,
4,94,100,98,
5,91,97,93,
6,94,101,94,
7,97,103,99,
8,93,99,97,
9,90,96,94,
10,86,92,90,
11,84,90,88,
12,87,93,91,
13,89,95,93,
14,92,98,96,
15,91,96,92,
16,81,86,80,
17,90,95,89,
18,81,86,80,
19,74,77,70,
20,74,75,67,
21,78,78,68,
22,79,77,65,
23,74,74,64,
24,76,76,66,
25,75,75,65,
26,74,74,66,
27,77,76,72,
28,84,84,84,
29,98,102,101,
30,85,89,88,
31,95,99,98,
32,88,92,91,
33,81,86,82,
34,84,89,83,
35,80,85,81,
36,79,84,80,
37,100,104,103,
38,92,94,93,
39,75,75,73,
40,78,75,70,
41,77,74,65,
42,75,72,63,
43,74,71,62,
44,73,70,61,
45,70,70,60,
46,72,74,63,
47,75,78,67,
48,70,74,60,
49,70,73,62,
50,76,76,68,
51,74,71,64,
52,77,74,67,
53,77,74,65,
54,72,69,60,
55,72,72,62,
56,72,72,62,
57,72,73,65,
58,76,77,69,
59,77,78,70,
60,75,77,66,
61,77,78,70,
62,78,83,76,
63,82,91,86,
64,86,98,98,
65,103,109,105,
66,88,88,80,
67,75,71,60,
68,76,69,59,
69,73,73,65,
70,74,76,71,
71,79,80,74,
72,75,76,70,
73,77,78,72,
74,85,86,80,
75,82,84,81,
76,88,94,94,
77,96,102,102,
78,96,100,103,
79,96,95,101,
80,93,92,97,
81,89,89,89,
82,78,78,76,
83,88,87,85,
84,80,79,75,
85,79,79,69,
86,77,77,69,
87,78,75,70,
88,75,72,63,
89,75,72,63,
90,68,64,53,
91,76,69,61,
92,75,66,57,
93,72,68,59,
94,78,76,64,
95,70,70,60,
96,75,76,71,
97,68,75,67,
98,70,82,72,
99,76,87,79,
100,77,87,86,
101,97,106,103,
102,82,87,80,
103,79,84,77,
104,90,92,87,
105,100,101,93,
106,93,93,81,
107,78,78,68,
108,69,72,61,
109,69,73,59,
110,69,73,58,
111,85,91,77,
112,75,77,64,
113,76,76,64,
114,74,74,62,
115,77,75,63,
116,78,76,64,
117,80,76,64,
118,81,78,61,
119,76,73,54,
120,97,103,103,
121,95,101,101,
122,99,105,105,
123,99,105,105,
124,94,100,100,
125,90,96,94,
126,91,97,95,
127,96,102,100,
128,92,98,96,
129,94,100,98,
130,85,91,89,
131,86,92,90,
132,89,95,93,
133,88,94,94,
134,84,90,88,
135,91,96,92,
136,89,94,88,
137,83,88,82,
138,78,83,77,
139,76,79,72,
140,72,73,65,
141,76,76,66,
142,75,73,61,
143,74,74,64,
144,77,77,67,
145,80,80,70,
146,75,75,65,
147,76,75,70,
148,87,87,85,
149,88,93,89,
150,81,85,84,
151,86,90,89,
152,87,91,92,
153,82,86,85,
154,84,89,83,
155,79,85,75,
156,85,87,82,
157,104,106,103,
158,91,91,89,
159,76,75,70,
160,77,74,67,
161,76,73,64,
162,76,74,62,
163,76,74,62,
164,76,73,64,
165,72,70,58,
166,73,73,61,
167,84,88,74,
168,87,93,81,
169,73,79,67,
170,75,76,68,
171,75,72,65,
172,77,74,67,
173,73,70,61,
174,75,72,63,
175,73,70,61,
176,72,72,62,
177,73,74,66,
178,75,76,68,
179,75,76,68,
180,77,79,68,
181,77,80,69,
182,79,84,77,
183,79,88,85,
184,90,102,102,
185,104,110,106,
186,101,104,97,
187,84,81,72,
188,73,69,58,
189,70,70,62,
190,74,76,71,
191,71,72,66,
192,75,76,70,
193,75,76,70,
194,82,83,77,
195,83,85,82,
196,88,94,92,
197,97,103,103,
198,102,106,109,
199,94,93,98,
200,84,84,86,
201,90,90,90,
202,80,80,78,
203,78,77,73,
204,77,76,72,
205,76,76,66,
206,75,75,67,
207,77,74,69,
208,75,72,63,
209,75,72,63,
210,72,68,57,
211,76,72,63,
212,73,69,58,
213,76,71,65,
214,74,74,62,
215,77,79,68,
216,86,88,83,
217,82,89,81,
218,89,99,90,
219,81,91,83,
220,81,90,85,
221,80,86,82,
222,76,79,72,
223,77,80,71,
224,73,78,71,
225,76,79,70,
226,68,70,57,
227,67,70,59,
228,80,80,70,
229,79,76,67,
230,77,75,63,
231,78,75,66,
232,81,81,71,
233,84,84,74,
234,77,77,67,
235,71,73,62,
236,73,73,61,
237,74,75,61,
