red,green,blue,closest_id,closest_dist
100,106,106,,
104,110,110,,
104,110,110,,
95,101,101,,
94,100,98,,
91,97,93,,
94,101,94,,
97,103,99,,
93,99,97,,
90,96,94,,
86,92,90,,
84,90,88,,
87,93,91,,
89,95,93,,
92,98,96,,
91,96,92,,
81,86,80,,
90,95,89,,
81,86,80,,
74,77,70,,
74,75,67,,
78,78,68,,
79,77,65,,
74,74,64,,
76,76,66,,
75,75,65,,
74,74,66,,
77,76,72,,
84,84,84,,
98,102,101,,
85,89,88,,
95,99,98,,
88,92,91,,
81,86,82,,
84,89,83,,
80,85,81,,
79,84,80,,
100,104,103,,
92,94,93,,
75,75,73,,
78,75,70,,
77,74,65,,
75,72,63,,
74,71,62,,
73,70,61,,
70,70,60,,
72,74,63,,
75,78,67,,
70,74,60,,
70,73,62,,
76,76,68,,
74,71,64,,
77,74,67,,
77,74,65,,
72,69,60,,
72,72,62,,
72,72,62,,
72,73,65,,
76,77,69,,
77,78,70,,
75,77,66,,
77,78,70,,
78,83,76,,
82,91,86,,
86,98,98,,
103,109,105,,
88,88,80,,
75,71,60,,
76,69,59,,
73,73,65,,
74,76,71,,
79,80,74,,
75,76,70,,
77,78,72,,
85,86,80,,
82,84,81,,
88,94,94,,
96,102,102,,
96,100,103,,
96,95,101,,
93,92,97,,
89,89,89,,
78,78,76,,
88,87,85,,
80,79,75,,
79,79,69,,
77,77,69,,
78,75,70,,
75,72,63,,
75,72,63,,
68,64,53,,
76,69,61,,
75,66,57,,
72,68,59,,
78,76,64,,
70,70,60,,
75,76,71,,
68,75,67,,
70,82,72,,
76,87,79,,
77,87,86,,
97,106,103,,
82,87,80,,
79,84,77,,
90,92,87,,
100,101,93,,
93,93,81,,
78,78,68,,
69,72,61,,
69,73,59,,
69,73,58,,
85,91,77,,
75,77,64,,
76,76,64,,
74,74,62,,
77,75,63,,
78,76,64,,
80,76,64,,
81,78,61,,
76,73,54,,
97,103,103,,
95,101,101,,
99,105,105,,
99,105,105,,
94,100,100,,
90,96,94,,
91,97,95,,
96,102,100,,
92,98,96,,
94,100,98,,
85,91,89,,
86,92,90,,
89,95,93,,
88,94,94,,
84,90,88,,
91,96,92,,
89,94,88,,
83,88,82,,
78,83,77,,
76,79,72,,
72,73,65,,
76,76,66,,
75,73,61,,
74,74,64,,
77,77,67,,
80,80,70,,
75,75,65,,
76,75,70,,
87,87,85,,
88,93,89,,
81,85,84,,
86,90,89,,
87,91,92,,
82,86,85,,
84,89,83,,
79,85,75,,
85,87,82,,
104,106,103,,
91,91,89,,
76,75,70,,
77,74,67,,
76,73,64,,
76,74,62,,
76,74,62,,
76,73,64,,
72,70,58,,
73,73,61,,
84,88,74,,
87,93,81,,
73,79,67,,
75,76,68,,
75,72,65,,
77,74,67,,
73,70,61,,
75,72,63,,
73,70,61,,
72,72,62,,
73,74,66,,
75,76,68,,
75,76,68,,
77,79,68,,
77,80,69,,
79,84,77,,
79,88,85,,
90,102,102,,
104,110,106,,
101,104,97,,
84,81,72,,
73,69,58,,
70,70,62,,
74,76,71,,
71,72,66,,
75,76,70,,
75,76,70,,
82,83,77,,
83,85,82,,
88,94,92,,
97,103,103,,
102,106,109,,
94,93,98,,
84,84,86,,
90,90,90,,
80,80,78,,
78,77,73,,
77,76,72,,
76,76,66,,
75,75,67,,
77,74,69,,
75,72,63,,
75,72,63,,
72,68,57,,
76,72,63,,
73,69,58,,
76,71,65,,
74,74,62,,
77,79,68,,
86,88,83,,
82,89,81,,
89,99,90,,
81,91,83,,
81,90,85,,
80,86,82,,
76,79,72,,
77,80,71,,
73,78,71,,
76,79,70,,
68,70,57,,
67,70,59,,
80,80,70,,
79,76,67,,
77,75,63,,
78,75,66,,
81,81,71,,
84,84,74,,
77,77,67,,
71,73,62,,
73,73,61,,
74,75,61,,
77,75,60,,
75,74,56,,
95,101,101,,
88,94,94,,
88,94,94,,
100,106,106,,
98,103,106,,
98,103,106,,
94,100,100,,
92,98,98,,
88,94,92,,
96,102,100,,
87,93,91,,
87,93,91,,
85,91,89,,
92,98,96,,
85,91,89,,
87,92,88,,
91,96,90,,
83,88,82,,
78,83,77,,
85,88,81,,
78,79,71,,
73,73,63,,
76,74,62,,
75,75,65,,
73,73,63,,
74,74,62,,
76,76,66,,
75,75,65,,
76,77,71,,
84,89,83,,
78,83,79,,
81,85,84,,
80,84,83,,
86,90,91,,
90,94,95,,
80,84,83,,
82,89,81,,
112,118,108,,
84,90,80,,
75,77,66,,
75,73,61,,
75,73,60,,
76,74,61,,
73,71,56,,
73,69,57,,
74,68,54,,
89,88,70,,
90,94,79,,
91,102,88,,
80,88,77,,
90,93,84,,
75,76,68,,
74,71,64,,
75,72,63,,
72,69,60,,
72,69,60,,
74,74,64,,
72,73,65,,
74,75,67,,
77,78,70,,
77,79,68,,
80,83,72,,
77,82,76,,
77,86,83,,
90,100,99,,
99,105,103,,
100,106,104,,
97,98,92,,
76,74,62,,
68,68,60,,
86,87,81,,
77,78,72,,
74,75,69,,
75,76,70,,
80,81,75,,
77,79,76,,
82,88,86,,
95,101,101,,
91,95,98,,
93,93,95,,
83,83,83,,
84,85,80,,
73,74,69,,
77,76,72,,
77,76,72,,
76,76,66,,
72,72,64,,
76,73,68,,
75,72,63,,
74,71,62,,
73,71,59,,
70,67,58,,
76,76,66,,
81,81,73,,
72,72,60,,
73,75,64,,
88,93,86,,
90,95,88,,
99,104,97,,
81,86,79,,
76,81,74,,
83,86,77,,
75,77,66,,
77,79,68,,
72,74,63,,
71,71,61,,
72,74,63,,
73,75,64,,
75,75,67,,
72,73,65,,
72,73,65,,
74,74,66,,
72,72,64,,
76,77,69,,
75,78,69,,
89,92,83,,
71,74,65,,
78,80,69,,
74,76,63,,
75,77,63,,
101,107,107,,
90,96,96,,
96,102,102,,
97,103,103,,
102,107,110,,
97,102,105,,
96,101,104,,
94,100,100,,
92,98,96,,
95,101,99,,
89,95,93,,
92,98,96,,
86,92,88,,
87,93,91,,
84,90,88,,
85,90,84,,
85,90,84,,
86,91,85,,
84,89,83,,
81,84,77,,
78,79,71,,
73,73,63,,
75,73,61,,
74,74,64,,
76,76,66,,
75,75,65,,
73,73,61,,
74,74,64,,
70,72,61,,
84,89,82,,
82,87,83,,
86,90,89,,
109,114,110,,
98,102,103,,
97,101,102,,
87,92,86,,
87,90,81,,
97,100,91,,
78,79,71,,
75,75,67,,
78,74,62,,
76,73,58,,
77,74,59,,
73,72,54,,
78,75,56,,
120,114,92,,
133,131,108,,
86,93,77,,
89,101,89,,
80,92,80,,
80,88,77,,
80,83,74,,
92,92,84,,
74,74,64,,
74,74,64,,
76,73,64,,
72,72,62,,
75,76,68,,
77,78,70,,
79,80,72,,
77,80,71,,
77,80,71,,
77,82,75,,
79,88,83,,
90,96,94,,
94,103,102,,
95,105,107,,
104,110,108,,
90,90,80,,
68,68,58,,
79,80,74,,
80,81,75,,
74,75,69,,
74,75,69,,
73,74,68,,
79,81,78,,
86,92,90,,
91,97,97,,
90,94,97,,
89,89,89,,
82,83,78,,
76,77,71,,
74,75,69,,
77,76,72,,
74,73,69,,
72,72,62,,
75,75,67,,
76,73,68,,
75,72,63,,
74,71,62,,
72,72,60,,
75,77,66,,
77,79,68,,
75,75,67,,
77,75,63,,
69,71,60,,
75,78,69,,
79,84,77,,
82,85,78,,
74,77,68,,
75,79,65,,
76,78,65,,
73,73,61,,
76,78,65,,
74,74,64,,
74,76,65,,
71,74,65,,
74,77,68,,
81,84,75,,
76,83,75,,
79,89,81,,
87,97,89,,
89,96,89,,
103,110,103,,
112,119,112,,
91,96,90,,
91,96,89,,
73,76,67,,
77,79,68,,
79,83,69,,
100,106,106,,
97,103,103,,
96,102,102,,
94,100,100,,
94,100,100,,
93,99,99,,
97,103,103,,
98,104,104,,
97,103,101,,
91,97,95,,
91,97,95,,
92,98,94,,
89,96,89,,
85,92,85,,
82,89,82,,
81,86,80,,
81,86,80,,
78,83,77,,
80,85,79,,
83,84,78,,
77,78,70,,
75,75,65,,
78,76,64,,
74,74,64,,
73,73,63,,
76,78,67,,
74,71,62,,
75,72,65,,
74,75,67,,
79,82,75,,
88,95,87,,
104,108,107,,
100,99,104,,
100,100,98,,
91,93,79,,
113,113,89,,
147,144,109,,
152,148,111,,
146,144,106,,
126,123,92,,
120,114,90,,
104,97,81,,
92,84,71,,
99,92,73,,
128,123,94,,
138,129,98,,
142,136,114,,
87,93,81,,
80,92,78,,
95,105,94,,
77,87,76,,
78,86,75,,
81,84,75,,
87,88,80,,
82,83,75,,
71,72,64,,
77,78,70,,
75,76,68,,
75,76,68,,
78,79,71,,
71,76,69,,
73,78,71,,
79,84,77,,
82,87,81,,
87,91,90,,
95,99,98,,
90,99,98,,
87,96,95,,
95,100,96,,
72,72,62,,
70,67,60,,
82,83,78,,
75,76,71,,
75,76,68,,
77,78,72,,
78,82,81,,
93,102,99,,
87,93,93,,
92,93,95,,
85,84,80,,
77,76,71,,
73,72,67,,
74,73,68,,
76,75,70,,
76,75,70,,
73,72,67,,
76,73,66,,
77,74,67,,
75,72,65,,
75,72,65,,
75,72,63,,
76,73,64,,
79,76,67,,
75,71,62,,
76,74,62,,
72,73,59,,
71,75,60,,
72,76,62,,
72,75,64,,
71,74,63,,
74,76,65,,
69,71,60,,
75,76,68,,
74,77,68,,
79,82,73,,
77,82,75,,
76,86,78,,
79,89,81,,
80,87,80,,
82,92,84,,
84,94,85,,
85,95,86,,
91,101,93,,
99,106,99,,
96,103,96,,
80,87,80,,
85,90,83,,
77,80,71,,
77,80,71,,
89,92,83,,
90,96,94,,
95,101,99,,
96,102,100,,
94,100,98,,
95,101,101,,
88,94,94,,
96,102,102,,
97,103,103,,
98,104,102,,
101,107,105,,
93,99,97,,
87,93,89,,
91,98,91,,
85,92,85,,
83,90,83,,
82,89,82,,
81,86,80,,
78,83,77,,
81,86,80,,
82,83,77,,
80,81,73,,
72,72,62,,
71,69,57,,
75,75,65,,
75,75,65,,
78,80,69,,
78,75,66,,
75,72,65,,
75,75,65,,
74,75,67,,
84,89,82,,
111,113,110,,
94,93,89,,
76,73,56,,
153,147,115,,
162,153,114,,
165,156,117,,
165,156,117,,
156,148,111,,
140,134,102,,
133,126,97,,
128,121,93,,
128,121,93,,
132,126,92,,
141,135,99,,
145,135,99,,
136,131,109,,
105,113,102,,
79,93,80,,
79,89,78,,
84,94,83,,
81,87,77,,
78,79,71,,
81,82,74,,
79,80,72,,
91,92,84,,
74,75,67,,
77,78,70,,
77,78,70,,
73,74,66,,
73,76,69,,
75,80,73,,
75,80,73,,
81,86,79,,
87,93,89,,
83,89,85,,
87,93,89,,
81,90,85,,
87,96,91,,
80,81,73,,
72,69,62,,
86,85,80,,
77,78,72,,
73,74,68,,
76,77,71,,
86,90,89,,
93,99,97,,
90,94,93,,
86,86,86,,
79,78,74,,
76,75,70,,
74,73,68,,
71,70,65,,
76,75,70,,
74,75,69,,
73,72,67,,
73,73,65,,
74,71,64,,
73,70,63,,
73,70,63,,
74,71,62,,
74,71,62,,
74,74,64,,
72,69,60,,
76,69,59,,
75,68,58,,
73,71,58,,
69,69,59,,
72,73,65,,
79,80,74,,
82,85,76,,
80,83,76,,
81,86,80,,
79,84,78,,
83,88,82,,
83,90,83,,
81,91,83,,
81,91,83,,
83,93,85,,
79,89,80,,
81,91,82,,
87,97,88,,
85,95,87,,
90,97,90,,
84,91,84,,
76,83,76,,
89,96,88,,
68,76,65,,
87,95,84,,
74,82,71,,
91,97,93,,
89,95,91,,
92,98,94,,
90,96,92,,
91,97,93,,
90,96,92,,
90,96,92,,
90,96,92,,
92,98,96,,
94,100,98,,
92,98,96,,
93,99,95,,
84,91,84,,
92,99,92,,
86,93,86,,
81,88,81,,
80,85,79,,
77,82,76,,
75,80,74,,
80,81,75,,
77,78,70,,
74,74,64,,
75,73,61,,
72,72,62,,
71,71,63,,
72,74,63,,
76,73,64,,
73,70,63,,
75,76,70,,
74,75,67,,
90,97,90,,
126,128,123,,
78,76,63,,
131,122,91,,
166,148,108,,
167,150,107,,
169,154,113,,
160,146,109,,
152,142,107,,
143,133,98,,
138,127,97,,
142,132,97,,
150,141,100,,
156,147,106,,
148,139,98,,
147,137,101,,
135,134,114,,
108,119,111,,
87,103,92,,
84,96,84,,
90,100,89,,
79,85,75,,
81,82,74,,
79,80,72,,
82,83,75,,
76,79,70,,
91,92,84,,
79,80,72,,
73,74,66,,
75,76,68,,
76,79,72,,
75,80,73,,
78,83,76,,
80,85,78,,
