red,green,blue,closest_id,closest_dist
100,106,106,5,20.489051379517498
104,110,110,7,20.79236628295075
104,110,110,7,20.79236628295075
95,101,101,5,12.527368457384348
94,100,98,5,9.644680349268718
91,97,93,5,5.287556262196765
94,101,94,5,8.5950920063602
97,103,99,5,13.015289869396828
93,99,97,5,8.27324639101739
90,96,94,5,5.543180158286265
86,92,90,5,8.027068798438625
84,90,88,5,10.829927382429261
87,93,91,5,6.856171430758921
89,95,93,5,5.49122873992066
92,98,96,5,7.062106814074279
91,96,92,5,4.329882571345761
81,86,80,4,11.741184083162974
90,95,89,5,5.180036839072251
81,86,80,4,11.741184083162974
74,77,70,4,5.07562213149245
74,75,67,4,7.2177619698279685
78,78,68,4,3.090796219079799
79,77,65,4,6.216531442356218
74,74,64,4,9.659641393354516
76,76,66,4,6.279398582511145
75,75,65,4,7.96051249626087
74,74,66,4,8.36149857435794
77,76,72,4,3.6233222532920157
84,84,84,4,15.064842455243019
98,102,101,5,13.80445796257941
85,89,88,5,10.252354272579506
95,99,98,5,8.9912902334069
88,92,91,5,5.901739380025432
81,86,82,4,13.358944203622585
84,89,83,5,13.615919450981567
80,85,81,4,11.84906337566746
79,84,80,4,10.40861256487465
100,104,103,5,17.13795688017676
92,94,93,5,2.588977441691935
75,75,73,4,5.813235368213906
78,75,70,4,4.1861317869266355
77,74,65,4,7.889907405099016
75,72,63,4,11.141295443134128
74,71,62,4,12.80887882666878
73,70,61,4,14.491593750908361
70,70,60,4,16.524658012453326
72,74,63,4,11.412552858418318
75,78,67,4,5.348930197249696
70,74,60,4,14.716591557945554
70,73,62,4,13.722449397992406
76,76,68,4,4.902737308771996
74,71,64,4,11.518392394647167
77,74,67,4,6.546497187184776
77,74,65,4,7.889907405099016
72,69,60,4,16.184721254518063
72,72,62,4,13.083825783706116
72,72,62,4,13.083825783706116
72,73,65,4,10.675856553141761
76,77,69,4,3.7707111481695237
77,78,70,4,2.0686589660568577
75,77,66,4,6.358429429579652
77,78,70,4,2.0686589660568577
78,83,76,4,6.509158803530306
82,91,86,5,13.21965025269796
86,98,98,5,11.359484609558297
103,109,105,5,22.95293640349642
88,88,80,5,13.866960240524863
75,71,60,4,13.976446191586556
76,69,59,4,15.753121609678116
73,73,65,4,10.092253021702952
74,76,71,4,5.494223979632866
79,80,74,4,3.3177569513851273
75,76,70,4,4.771075535850834
77,78,72,4,2.2102797285930413
85,86,80,4,13.167157450185266
82,84,81,4,11.801744893806795
88,94,94,5,6.397045264452407
96,102,102,5,14.053761548430948
96,100,103,5,13.641856535063939
96,95,101,5,9.85196332482109
93,92,97,5,5.447063213985221
89,89,89,5,6.65080690164932
78,78,76,4,5.289325808740239
88,87,85,5,10.540766711737607
80,79,75,4,4.394510918857028
79,79,69,4,1.9010809090608127
77,77,69,4,3.17772252938207
78,75,70,4,4.1861317869266355
75,72,63,4,11.141295443134128
75,72,63,4,11.141295443134128
68,64,53,4,25.630322601596177
76,69,61,4,14.309675992491567
75,66,57,4,19.365946594126786
72,68,59,4,17.486102271299448
78,76,64,4,7.522245397411997
70,70,60,4,16.524658012453326
75,76,71,4,4.697462618178592
68,75,67,4,11.950654391631454
70,82,72,4,9.12367665789393
76,87,79,4,11.66329957619114
77,87,86,4,17.176529564423937
97,106,103,5,17.739780126438603
82,87,80,4,12.594185076822006
79,84,77,4,7.901280635725678
90,92,87,5,6.072281394878981
100,101,93,5,10.410667258807415
93,93,81,5,10.699306323725686
78,78,68,4,3.090796219079799
69,72,61,4,15.435171852802439
69,73,59,4,16.38648771788747
69,73,58,4,17.123492238678587
85,91,77,4,14.89487281903968
75,77,64,4,7.988969786534602
76,76,64,4,7.926213471592919
74,74,62,4,11.167035653539665
77,75,63,4,8.973465800011079
78,76,64,4,7.522245397411997
80,76,64,4,7.6382911466185215
81,78,61,4,10.20152155502201
76,73,54,4,18.08755424877032
97,103,103,5,15.623106824612195
95,101,101,5,12.527368457384348
99,105,105,5,18.847492492090822
99,105,105,5,18.847492492090822
94,100,100,5,11.061722617837622
90,96,94,5,5.543180158286265
91,97,95,5,6.107380736478319
96,102,100,5,12.655685102978266
92,98,96,5,7.062106814074279
94,100,98,5,9.644680349268718
85,91,89,5,9.373397479130979
86,92,90,5,8.027068798438625
89,95,93,5,5.49122873992066
88,94,94,5,6.397045264452407
84,90,88,5,10.829927382429261
91,96,92,5,4.329882571345761
89,94,88,5,6.185428720877618
83,88,82,4,14.965880474751712
78,83,77,4,7.326127326901098
76,79,72,4,2.8078665800801454
72,73,65,4,10.675856553141761
76,76,66,4,6.279398582511145
75,73,61,4,12.09962452946923
74,74,64,4,9.659641393354516
77,77,67,4,4.63593937761922
80,80,70,4,1.9170800655457743
75,75,65,4,7.96051249626087
76,75,70,4,4.874872666633732
87,87,85,5,11.124067503500694
88,93,89,5,6.4053199375503524
81,85,84,4,14.635195271419143
86,90,89,5,8.699656391120694
87,91,92,5,7.042664463898965
82,86,85,5,15.145659726509622
84,89,83,5,13.615919450981567
