red,green,blue,closest_id,closest_dist
100,106,106,95.0,435.0
104,110,110,95.0,699.0
104,110,110,95.0,699.0
95,101,101,93.0,233.0
94,100,98,93.0,165.0
91,97,93,93.0,99.0
94,101,94,93.0,139.0
97,103,99,95.0,224.0
93,99,97,93.0,142.0
90,96,94,93.0,109.0
86,92,90,87.0,54.0
84,90,88,86.0,32.0
87,93,91,87.0,71.0
89,95,93,89.0,100.0
92,98,96,93.0,125.0
91,96,92,93.0,82.0
81,86,80,82.0,8.0
90,95,89,89.0,59.0
81,86,80,82.0,8.0
74,77,70,74.0,9.0
74,75,67,72.0,5.0
78,78,68,75.0,1.0
79,77,65,73.0,10.0
74,74,64,71.0,1.0
76,76,66,73.0,0.0
75,75,65,72.0,1.0
74,74,66,72.0,3.0
77,76,72,76.0,11.0
84,84,84,85.0,12.0
98,102,101,95.0,226.0
85,89,88,86.0,22.0
95,99,98,93.0,140.0
88,92,91,89.0,53.0
81,86,82,83.0,13.0
84,89,83,85.0,10.0
80,85,81,82.0,16.0
79,84,80,82.0,18.0
100,104,103,95.0,302.0
92,94,93,93.0,56.0
75,75,73,74.0,25.0
78,75,70,74.0,6.0
77,74,65,72.0,1.0
75,72,63,70.0,0.0
74,71,62,69.0,0.0
73,70,61,68.0,2.0
70,70,60,67.0,7.0
72,74,63,70.0,6.0
75,78,67,73.0,6.0
70,74,60,67.0,20.0
70,73,62,69.0,15.0
76,76,68,74.0,1.0
74,71,64,70.0,3.0
77,74,67,72.0,3.0
77,74,65,72.0,1.0
72,69,60,67.0,4.0
72,72,62,69.0,2.0
72,72,62,69.0,2.0
72,73,65,70.0,8.0
76,77,69,74.0,0.0
77,78,70,75.0,1.0
75,77,66,73.0,3.0
77,78,70,75.0,1.0
78,83,76,80.0,8.0
82,91,86,86.0,45.0
86,98,98,93.0,261.0
103,109,105,95.0,500.0
88,88,80,85.0,12.0
75,71,60,68.0,2.0
76,69,59,68.0,10.0
73,73,65,70.0,5.0
74,76,71,74.0,13.0
79,80,74,78.0,1.0
75,76,70,74.0,5.0
77,78,72,76.0,3.0
85,86,80,84.0,0.0
82,84,81,83.0,5.0
88,94,94,89.0,108.0
96,102,102,95.0,267.0
96,100,103,95.0,250.0
96,95,101,93.0,139.0
93,92,97,92.0,73.0
89,89,89,89.0,17.0
78,78,76,78.0,17.0
88,87,85,87.0,0.0
80,79,75,78.0,6.0
79,79,69,75.0,3.0
77,77,69,74.0,0.0
78,75,70,74.0,6.0
75,72,63,70.0,0.0
75,72,63,70.0,0.0
68,64,53,62.0,6.0
76,69,61,68.0,11.0
75,66,57,66.0,9.0
72,68,59,67.0,6.0
78,76,64,73.0,8.0
70,70,60,67.0,7.0
75,76,71,74.0,9.0
68,75,67,70.0,60.0
70,82,72,76.0,71.0
76,87,79,80.0,48.0
77,87,86,83.0,88.0
97,106,103,95.0,380.0
82,87,80,83.0,7.0
79,84,77,80.0,5.0
90,92,87,88.0,21.0
100,101,93,95.0,103.0
93,93,81,88.0,46.0
78,78,68,75.0,1.0
69,72,61,67.0,18.0
69,73,59,67.0,16.0
69,73,58,67.0,16.0
85,91,77,84.0,42.0
75,77,64,73.0,8.0
76,76,64,72.0,5.0
74,74,62,70.0,3.0
77,75,63,71.0,6.0
78,76,64,73.0,8.0
80,76,64,73.0,19.0
81,78,61,73.0,56.0
76,73,54,66.0,34.0
97,103,103,95.0,300.0
95,101,101,93.0,233.0
99,105,105,95.0,384.0
99,105,105,95.0,384.0
94,100,100,93.0,200.0
90,96,94,93.0,109.0
91,97,95,93.0,114.0
96,102,100,93.0,229.0
92,98,96,93.0,125.0
94,100,98,93.0,165.0
85,91,89,87.0,43.0
86,92,90,87.0,54.0
89,95,93,89.0,100.0
88,94,94,89.0,108.0
84,90,88,86.0,32.0
91,96,92,93.0,82.0
89,94,88,89.0,49.0
83,88,82,85.0,11.0
78,83,77,80.0,9.0
76,79,72,76.0,4.0
72,73,65,70.0,8.0
76,76,66,73.0,0.0
75,73,61,69.0,4.0
74,74,64,71.0,1.0
77,77,67,73.0,1.0
80,80,70,77.0,5.0
75,75,65,72.0,1.0
76,75,70,74.0,5.0
87,87,85,86.0,0.0
88,93,89,87.0,48.0
81,85,84,83.0,25.0
86,90,89,87.0,31.0
87,91,92,89.0,66.0
82,86,85,85.0,22.0
84,89,83,85.0,10.0
79,85,75,80.0,6.0
85,87,82,85.0,1.0
104,106,103,95.0,354.0
91,91,89,89.0,16.0
76,75,70,74.0,5.0
77,74,67,72.0,3.0
76,73,64,71.0,0.0
76,74,62,71.0,5.0
76,74,62,71.0,5.0
76,73,64,71.0,0.0
72,70,58,67.0,0.0
73,73,61,69.0,3.0
84,88,74,81.0,30.0
87,93,81,85.0,45.0
73,79,67,73.0,20.0
75,76,68,74.0,3.0
75,72,65,71.0,2.0
77,74,67,72.0,3.0
73,70,61,68.0,2.0
75,72,63,70.0,0.0
73,70,61,68.0,2.0
72,72,62,69.0,2.0
73,74,66,72.0,8.0
