red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
74.42094455852155,72.01848049281314,61.38193018480493,36243,35073,29893,487,74.42094455852155,72.01848049281314,61.38193018480493
77.2,76.6868085106383,68.16,90710,90107,80088,1175,77.2,76.6868085106383,68.16
80.76887417218543,82.43774834437086,75.42847682119205,121961,124481,113897,1510,80.76887417218543,82.43774834437086,75.42847682119205
86.77666151468316,92.45363214837712,85.12828438948995,112289,119635,110156,1294,86.77666151468316,92.45363214837712,85.12828438948995
97.49005964214712,104.95427435387674,98.20675944333996,98075,105584,98796,1006,97.49005964214712,104.95427435387674,98.20675944333996
107.26449275362319,77.47222222222223,98.19565217391305,88815,64147,81306,828,107.26449275362319,77.47222222222223,98.19565217391305
170.85668103448276,77.87931034482759,65.54310344827586,158555,72272,60824,928,170.85668103448276,77.87931034482759,65.54310344827586
129.4641638225256,88.26279863481228,125.48919226393629,113799,77583,110305,879,129.4641638225256,88.26279863481228,125.48919226393629
111.86783439490446,120.45541401273886,116.56369426751593,70253,75646,73202,628,111.86783439490446,120.45541401273886,116.56369426751593
148.19041916167666,101.84790419161676,151.6622754491018,123739,85043,126638,835,148.19041916167666,101.84790419161676,151.6622754491018
164.97878787878787,128.8909090909091,168.28787878787878,54443,42534,55535,330,164.97878787878787,128.8909090909091,168.28787878787878
151.43864229765012,134.32114882506528,99.65274151436032,58001,51445,38167,383,151.43864229765012,134.32114882506528,99.65274151436032
173.50424448217316,156.97283531409167,112.35993208828523,102194,92457,66180,589,173.50424448217316,156.97283531409167,112.35993208828523
190.2783783783784,170.98108108108107,121.18108108108108,140806,126526,89674,740,190.2783783783784,170.98108108108107,121.18108108108108
204.39242424242425,181.66666666666666,127.94242424242424,134899,119900,84442,660,204.39242424242425,181.66666666666666,127.94242424242424
216.29173989455185,193.01757469244288,135.1493848857645,123070,109827,76900,569,216.29173989455185,193.01757469244288,135.1493848857645
230.61714285714285,206.34857142857143,154.50857142857143,40358,36111,27039,175,230.61714285714285,206.34857142857143,154.50857142857143
188.78095238095239,177.58095238095237,176.04761904761904,19822,18646,18485,105,188.78095238095239,177.58095238095237,176.04761904761904
187.97272727272727,154.6909090909091,194.92727272727274,20677,17016,21442,110,187.97272727272727,154.6909090909091,194.92727272727274
212.32011331444758,201.6487252124646,203.73087818696885,74949,71182,71917,353,212.32011331444758,201.6487252124646,203.73087818696885
222.4623217922607,210.85132382892058,215.03665987780042,109229,103528,105583,491,222.4623217922607,210.85132382892058,215.03665987780042
230.912,218.228,220.764,57728,54557,55191,250,230.912,218.228,220.764
234.98666666666668,222.42666666666668,228.42666666666668,17624,16682,17132,75,234.98666666666668,222.42666666666668,228.42666666666668
,,,0,0,0,0,,,
,,,0,0,0,0,,,
