red,green,blue,closest_id,closest_dist
100,106,106,95.0,20.876579515664915
104,110,110,95.0,26.451837443588143
104,110,110,95.0,26.451837443588143
95,101,101,93.0,15.276166275779381
94,100,98,93.0,12.85748414229492
91,97,93,93.0,9.958041001550988
94,101,94,93.0,11.79503478117945
97,103,99,95.0,14.983020821357105
93,99,97,93.0,11.927360074086595
90,96,94,93.0,10.445237093506494
86,92,90,87.0,7.383853351914614
84,90,88,86.0,5.7297605627565
87,93,91,87.0,8.454737171855866
89,95,93,89.0,10.013242774655843
92,98,96,93.0,11.189679986687047
91,96,92,93.0,9.103361459378277
81,86,80,82.0,2.9619565171605835
90,95,89,89.0,7.740838870545819
81,86,80,82.0,2.9619565171605835
74,77,70,74.0,3.1459336832065934
74,75,67,72.0,2.415669071647008
78,78,68,75.0,1.287128241061669
79,77,65,73.0,3.2327168924549845
74,74,64,71.0,1.3408921740279616
76,76,66,73.0,0.5740128612046029
75,75,65,72.0,1.2024904903995717
74,74,66,72.0,1.9637998103907819
77,76,72,76.0,3.4246296570062666
84,84,84,85.0,3.4997344167104227
98,102,101,95.0,15.048154600789577
85,89,88,86.0,4.718099102056115
95,99,98,93.0,11.844061207482165
88,92,91,89.0,7.342307219712474
81,86,82,83.0,3.7263605531896546
84,89,83,85.0,3.239142390592275
80,85,81,82.0,4.01706643873193
79,84,80,82.0,4.339791754238458
100,104,103,95.0,17.38910644119848
92,94,93,93.0,7.519312736698695
75,75,73,74.0,5.050496827853709
78,75,70,74.0,2.4859775903740227
77,74,65,72.0,1.3391608568629871
75,72,63,70.0,0.9682788071244932
74,71,62,69.0,0.6492822526031787
73,70,61,68.0,1.6268062916565402
70,70,60,67.0,2.6673899482082644
72,74,63,70.0,2.6383365331738644
75,78,67,73.0,2.4852092383493
70,74,60,67.0,4.47256727447351
70,73,62,69.0,3.9200283657902864
76,76,68,74.0,1.0362865866044588
74,71,64,70.0,1.8213755267837421
77,74,67,72.0,1.8534986009468373
77,74,65,72.0,1.3391608568629871
72,69,60,67.0,2.109099919192024
72,72,62,69.0,1.701203960750433
72,72,62,69.0,1.701203960750433
72,73,65,70.0,2.979185852619881
76,77,69,74.0,0.9971177823493007
77,78,70,75.0,1.0159616312349438
75,77,66,73.0,1.7456324642696601
77,78,70,75.0,1.0159616312349438
78,83,76,80.0,2.8854511220288663
82,91,86,86.0,6.767111087469752
86,98,98,93.0,16.17506659226067
103,109,105,95.0,22.367232970026006
88,88,80,85.0,3.5550506170723435
75,71,60,68.0,1.556003405490241
76,69,59,68.0,3.210680697540511
73,73,65,70.0,2.342637711048306
74,76,71,74.0,3.733784477811277
79,80,74,78.0,1.210811298262451
75,76,70,74.0,2.3449240180948827
77,78,72,76.0,1.8180887707185531
85,86,80,84.0,0.9478999344415424
82,84,81,83.0,2.447408673503977
88,94,94,89.0,10.427982002380674
96,102,102,95.0,16.369588889332196
96,100,103,95.0,15.841478826004819
96,95,101,93.0,11.804856355276119
93,92,97,92.0,8.550426282029811
89,89,89,89.0,4.2345835132707155
78,78,76,78.0,4.193574131930901
88,87,85,87.0,0.9325649679002755
80,79,75,78.0,2.547560401639185
