red,green,blue,closest_id,closest_dist,r_cluster,g_cluster,b_cluster
100,106,106,3,0.22316963839196408,100.03125,105.84375,105.84375
104,110,110,1,1.236384177079832,103.41666666666666,109.22916666666666,109.22916666666666
104,110,110,1,1.236384177079832,103.41666666666666,109.22916666666666,109.22916666666666
95,101,101,0,3.034952635544746,96.875,102.6875,102.6875
94,100,98,0,6.120534086172546,96.875,102.6875,102.6875
91,97,93,0,12.677181764887651,96.875,102.6875,102.6875
94,101,94,0,9.30515650056462,96.875,102.6875,102.6875
97,103,99,0,3.702828310899656,96.875,102.6875,102.6875
93,99,97,0,7.80774855512138,96.875,102.6875,102.6875
90,96,94,0,12.940669901515918,96.875,102.6875,102.6875
86,92,90,0,19.835849805339826,96.875,102.6875,102.6875
84,90,88,0,23.290790830283115,96.875,102.6875,102.6875
87,93,91,0,18.10969181129265,96.875,102.6875,102.6875
89,95,93,0,14.661546217913035,96.875,102.6875,102.6875
92,98,96,0,9.51109549421096,96.875,102.6875,102.6875
91,96,92,0,13.909023599807428,96.875,102.6875,102.6875
81,86,80,0,32.329722199548826,96.875,102.6875,102.6875
90,95,89,0,17.137996892869364,96.875,102.6875,102.6875
81,86,80,0,32.329722199548826,96.875,102.6875,102.6875
74,77,70,0,47.45087920681765,96.875,102.6875,102.6875
74,75,67,0,50.63063240272631,96.875,102.6875,102.6875
78,78,68,0,46.57210471408824,96.875,102.6875,102.6875
79,77,65,0,48.98684453503818,96.875,102.6875,102.6875
74,74,64,0,53.3194236418587,96.875,102.6875,102.6875
76,76,66,0,49.93957286060825,96.875,102.6875,102.6875
75,75,65,0,51.628102207034495,96.875,102.6875,102.6875
74,74,66,0,51.88651980524421,96.875,102.6875,102.6875
77,76,72,0,45.26544971056843,96.875,102.6875,102.6875
84,84,84,0,29.397464814163822,96.875,102.6875,102.6875
98,102,101,0,2.141480212376477,96.875,102.6875,102.6875
85,89,88,0,23.325649776587145,96.875,102.6875,102.6875
95,99,98,0,6.251874718834343,96.875,102.6875,102.6875
88,92,91,0,18.15450185215777,96.875,102.6875,102.6875
81,86,82,0,30.95902029296147,96.875,102.6875,102.6875
84,89,83,0,27.21600517158975,96.875,102.6875,102.6875
80,85,81,0,32.6796716247272,96.875,102.6875,102.6875
79,84,80,0,34.401467083541654,96.875,102.6875,102.6875
100,104,103,3,3.3892926529734786,100.03125,105.84375,105.84375
92,94,93,0,13.895536603528488,96.875,102.6875,102.6875
75,75,73,0,46.113565655889154,96.875,102.6875,102.6875
78,75,70,0,46.81170726965638,96.875,102.6875,102.6875
77,74,65,0,51.36473437583417,96.875,102.6875,102.6875
75,72,63,0,54.729662318527055,96.875,102.6875,102.6875
74,71,62,0,56.41662820038078,96.875,102.6875,102.6875
73,70,61,0,58.10624697483051,96.875,102.6875,102.6875
70,70,60,0,60.10791077304218,96.875,102.6875,102.6875
72,74,63,0,54.9257311057395,96.875,102.6875,102.6875
75,78,67,0,48.59615146799178,96.875,102.6875,102.6875
70,74,60,0,58.02982799819417,96.875,102.6875,102.6875
70,73,62,0,57.088404580089644,96.875,102.6875,102.6875
76,76,68,0,48.4892868322478,96.875,102.6875,102.6875
74,71,64,0,54.99168971308301,96.875,102.6875,102.6875
77,74,67,0,49.9157884591639,96.875,102.6875,102.6875
77,74,65,0,51.36473437583417,96.875,102.6875,102.6875
72,69,60,0,59.798293767464635,96.875,102.6875,102.6875
72,72,62,0,56.70944310694648,96.875,102.6875,102.6875
72,72,62,0,56.70944310694648,96.875,102.6875,102.6875
72,73,65,0,54.0412891916912,96.875,102.6875,102.6875
76,77,69,0,47.227756007458154,96.875,102.6875,102.6875
77,78,70,0,45.52978077588338,96.875,102.6875,102.6875
75,77,66,0,49.84311324044677,96.875,102.6875,102.6875
77,78,70,0,45.52978077588338,96.875,102.6875,102.6875
78,83,76,0,38.158694127289,96.875,102.6875,102.6875
82,91,86,0,25.225699940735044,96.875,102.6875,102.6875
86,98,98,0,12.73620577330627,96.875,102.6875,102.6875
103,109,105,1,4.2558170974169665,103.41666666666666,109.22916666666666,109.22916666666666
88,88,80,0,28.44663314875769,96.875,102.6875,102.6875
75,71,60,0,57.487702489315055,96.875,102.6875,102.6875
76,69,59,0,58.98483650481707,96.875,102.6875,102.6875
73,73,65,0,53.5883470308611,96.875,102.6875,102.6875
74,76,71,0,47.324263729085104,96.875,102.6875,102.6875
79,80,74,0,40.7088557625979,96.875,102.6875,102.6875
75,76,70,0,47.531157544288774,96.875,102.6875,102.6875
77,78,72,0,44.1158807857216,96.875,102.6875,102.6875
85,86,80,0,30.56486442796696,96.875,102.6875,102.6875
82,84,81,0,32.26198905058397,96.875,102.6875,102.6875
88,94,94,0,15.156217783470915,96.875,102.6875,102.6875
96,102,102,0,1.3080280960285218,96.875,102.6875,102.6875
96,100,103,0,2.8435782915193313,96.875,102.6875,102.6875
96,95,101,0,7.919023771905222,96.875,102.6875,102.6875
93,92,97,0,12.711645743175822,96.875,102.6875,102.6875
89,89,89,0,20.897629949350716,96.875,102.6875,102.6875
78,78,76,0,40.96292149615308,96.875,102.6875,102.6875
88,87,85,0,25.252939185370085,96.875,102.6875,102.6875
80,79,75,0,40.155459622571875,96.875,102.6875,102.6875
79,79,69,0,44.8938853018983,96.875,102.6875,102.6875
77,77,69,0,46.79434728148262,96.875,102.6875,102.6875
78,75,70,0,46.81170726965638,96.875,102.6875,102.6875
75,72,63,0,54.729662318527055,96.875,102.6875,102.6875
75,72,63,0,54.729662318527055,96.875,102.6875,102.6875
68,64,53,0,69.27723967869967,96.875,102.6875,102.6875
76,69,61,0,57.51922233045228,96.875,102.6875,102.6875
75,66,57,0,62.54467153563124,96.875,102.6875,102.6875
72,68,59,0,61.07852271871022,96.875,102.6875,102.6875
78,76,64,0,50.64791148211346,96.875,102.6875,102.6875
70,70,60,0,60.10791077304218,96.875,102.6875,102.6875
75,76,71,0,46.84907616485089,96.875,102.6875,102.6875
68,75,67,0,53.60933629042613,96.875,102.6875,102.6875
70,82,72,0,45.73795948115744,96.875,102.6875,102.6875
76,87,79,0,35.25565114276008,96.875,102.6875,102.6875
77,87,86,0,30.324675389853724,96.875,102.6875,102.6875
97,106,103,0,3.329555150466801,96.875,102.6875,102.6875
82,87,80,0,31.338250389898924,96.875,102.6875,102.6875
79,84,77,0,36.449772804504555,96.875,102.6875,102.6875
90,92,87,0,20.188757700760092,96.875,102.6875,102.6875
100,101,93,0,10.317990962391855,96.875,102.6875,102.6875
93,93,81,0,24.066801563564695,96.875,102.6875,102.6875
78,78,68,0,46.57210471408824,96.875,102.6875,102.6875
69,72,61,0,58.79273711522538,96.875,102.6875,102.6875
69,73,59,0,59.724039862521025,96.875,102.6875,102.6875
69,73,58,0,60.45937427314312,96.875,102.6875,102.6875
85,91,77,0,30.617983890191073,96.875,102.6875,102.6875
75,77,64,0,51.333088135236906,96.875,102.6875,102.6875
76,76,64,0,51.42675313005868,96.875,102.6875,102.6875
74,74,62,0,54.787872175327266,96.875,102.6875,102.6875
77,75,63,0,52.313582724757055,96.875,102.6875,102.6875
78,76,64,0,50.64791148211346,96.875,102.6875,102.6875
80,76,64,0,49.93706977286513,96.875,102.6875,102.6875
81,78,61,0,50.98368305154111,96.875,102.6875,102.6875
76,73,54,0,60.72549660150998,96.875,102.6875,102.6875
97,103,103,0,0.4592793267718459,96.875,102.6875,102.6875
95,101,101,0,3.034952635544746,96.875,102.6875,102.6875
99,105,105,3,1.5771191101181927,100.03125,105.84375,105.84375
99,105,105,3,1.5771191101181927,100.03125,105.84375,105.84375
94,100,100,0,4.765599385177063,96.875,102.6875,102.6875
90,96,94,0,12.940669901515918,96.875,102.6875,102.6875
91,97,95,0,11.223232043399976,96.875,102.6875,102.6875
96,102,100,0,2.908769069555024,96.875,102.6875,102.6875
92,98,96,0,9.51109549421096,96.875,102.6875,102.6875
