red,green,blue,closest_id,closest_dist,r_cluster,g_cluster,b_cluster
100,106,106,95,4.936708003907855,101.36190476190477,110.67936507936508,105.21269841269842
104,110,110,95,5.508115819779186,101.36190476190477,110.67936507936508,105.21269841269842
104,110,110,95,5.508115819779186,101.36190476190477,110.67936507936508,105.21269841269842
95,101,101,93,4.388916438028866,96.1375,104.3125,98.355
94,100,98,93,4.82623947810301,96.1375,104.3125,98.355
91,97,93,89,2.156122029292376,91.4220623501199,99.08872901678657,92.67146282973621
94,101,94,89,3.4732881122526322,91.4220623501199,99.08872901678657,92.67146282973621
97,103,99,93,1.6978184531922105,96.1375,104.3125,98.355
93,99,97,89,4.608035817968895,91.4220623501199,99.08872901678657,92.67146282973621
90,96,94,89,3.650687507790881,91.4220623501199,99.08872901678657,92.67146282973621
86,92,90,86,3.0322344233123553,86.78674351585015,94.60230547550432,88.657060518732
84,90,88,84,4.299328004207056,83.972049689441,91.28571428571429,83.8975155279503
87,93,91,86,2.846441037110637,86.78674351585015,94.60230547550432,88.657060518732
89,95,93,89,4.7636149794904465,91.4220623501199,99.08872901678657,92.67146282973621
92,98,96,89,3.549436926185566,91.4220623501199,99.08872901678657,92.67146282973621
91,96,92,89,3.188925508419011,91.4220623501199,99.08872901678657,92.67146282973621
81,86,80,82,1.621151851069634,79.48347107438016,86.51652892561984,79.75206611570248
90,95,89,86,3.255884773077401,86.78674351585015,94.60230547550432,88.657060518732
81,86,80,82,1.621151851069634,79.48347107438016,86.51652892561984,79.75206611570248
74,77,70,74,1.2625645554647016,73.76354679802955,77.64532019704434,68.94088669950739
74,75,67,72,2.317279373649471,76.16161616161617,74.18181818181819,67.16666666666667
78,78,68,76,2.6109774312301544,77.88601036269431,78.83419689119171,70.47150259067358
79,77,65,73,1.9534493193649007,77.06030150753769,77.01005025125629,65.23115577889448
74,74,64,69,1.6804548703933064,72.90714285714286,72.91428571428571,64.67142857142858
76,76,66,73,1.6539535160568888,77.06030150753769,77.01005025125629,65.23115577889448
75,75,65,72,2.5909878500247037,76.16161616161617,74.18181818181819,67.16666666666667
74,74,66,69,2.0342601322629004,72.90714285714286,72.91428571428571,64.67142857142858
77,76,72,76,3.339759079808007,77.88601036269431,78.83419689119171,70.47150259067358
84,84,84,85,5.090180300769378,86.13375796178345,86.57961783439491,80.1656050955414
98,102,101,93,3.9765044322872276,96.1375,104.3125,98.355
85,89,88,84,4.807447397559918,83.972049689441,91.28571428571429,83.8975155279503
95,99,98,93,5.4445006658094925,96.1375,104.3125,98.355
